Product Name,Amazon ASIN,Amazon Offer ID,Tradepost Asset Config ID,Notes
2025 Topps Chrome Disney - Factory Sealed - Value Box,B0FF5RXBFZ,MjgU0JmOB%2B9tQ%2Bg2YpBhmW9KW5ju1Xd3e7%2BXf2KFEMYrT3%2BnkauaUnwM6G42Qjk7vmC0ztywAt0dRQmoTne7K2%2Fk5baTy0abZVPRcWEDXJZew7eNICV%2FUCRfUhr7Mpma9yz6T%2BjLWET%2FMmgXJ6fGGNyMxX56eHZA6nwXKNG04kOZ1JGXmDrVdUjUBHwncCja,,
2025 Topps Chrome Star Wars - Factory Sealed - Value Box,B0FF5JK6FP,eR3TlLmwIAtme9fouxafuc%2B6La5VbXOD8nuo8NJy49CZRixM%2F8Vo4bA8FzW5iEPmdOog9OClGgBRCRd6biIle2V6%2FUa3hLQN5hmkYxyVjlwxk2aOaiHZ6THyvpyVVzSQR8yzaQhlHbD4DEXlAZQmZqqTCOl34MkQN9S5Q1xqBuI9vGUF%2BZzWcsTdUWQpGpHV,,
2025 Marvel Comics Chrome – Factory Sealed – Value Box,B0F6VR5P3V,uiSVgOGehatfGGJqBrlCKfFIYuX8aEIWwPWTfnqSdDBo%2BI5uBmwdPqme8NMyto%2FS%2BVlqgnFMEb8oOWY%2B4imat9x5E0eSsAseciTO0ysTXT%2BOp5AFJNeYqNBvXEdyzZOYSUH9YIrkq8QGZL2O%2BSY9o5ycEOrvICvxslGyFT96HUj8%2BepREk4jviPafomgfIpp,,
Crimson Desert: Amazon Collector's Edition - Xbox Series X,B0FW8QCZGF,zQ4Gz7m1zcB3q7RhNE07v%2FRVTJYS0ybz1uJWD09re39jIf%2BgHB2qw70l3vnwQ8arqn2gVNZELfs3HpjBpDl95R4l%2F2IWWGDkWUuT7RYXDbVNZH0lDswR8Z3F6%2FUFSh%2FGfXZZnUG8S0K7hT28bB3HkA%3D%3D,,
Crimson Desert: Amazon Collector's Edition - PlayStation 5,B0FW8469J1,5r23iCYjvQF%2FRDXbHZK4avqu59B%2BaR7bHyqBqauQoTYizSPzHJnJo3gWtfxSxY7TtDgq%2BPjjBdt8FoDc61sKwGcewcCClr%2FeE%2Blrv1JFFQmSlSe8aAu8h%2BOVL6bgXQ5NrU4qKHvGo8yC%2BMi%2BL07GpQ%3D%3D,,
Canon PowerShot G7 X Mark III Digital Camera (Black),B07TKNCQZL,2x2L%2FuWlW9O2lz5vcei6nZSrMsCAT%2BV6mizx69HuLpD8R8mVXeE%2FJU9RW7%2FBEZlPZXoHqxnGK2ijKaGOVvIdqTP63pVGmdoYbBCgYwUVNjZCLIjB0lkBAeACpPbs5goRzWNxh9UoUPcWHzCwu6dPYw%3D%3D,,
"LEGO Star Wars Gingerbread AT-AT Walker, Christmas Craft Building Set for Kids, Festive Activity, Playful, Brick-Built Decoration, Idea for Boys, Girls and Any Fans 40806",B0G2STSGW3,Y5XLod3k06a1069pNpGi%2BZCKkkWIA0Jtfw0q9ETHfaYmOpsvd80nEq9Kv8e8jNj382ryAY5R93t%2BikT05SRMBgdiLieeqBazTS2OCPkMgzyYrptrCvvB6SK5shj4Cf%2FsSURDFu47JKxa1juDshKrkQ%3D%3D,,
"Monster High Skullector Doll, Coraline Collectible in Yellow Raincoat with Dress and Accessories Like Rag Doll, Cat Figure, and Doll Stand",B0FK23475S,uYYlSJ99m9L%2ByOw%2FBnLUJv5Hfw0rA769eDpQJhQ%2FDmyat87edMMnlssc5HPdQsM9pj2gvNpsGSN96zJRH3yT893AUL5zvygxud91K77ZHNegZP2KekffuSVO6mCcb%2BJtoE8MmG30JcaMW5%2BJ8GeIGQX5RJQqFXGALZtO8uEe%2BMrpyiwbZqjCDQ%3D%3D,,
Pokemon TCG Surging Spark – Single Booster Pack – Pack Art May Vary - 10 Cards,B0DFLT2X9T,37got2wJgRMxd1A%2BfZ75esjv7i26KcCOfWIMWQxQRkILT%2FJRyDm5eNH9IcV2m%2BBjlUe5PPhE2XxGI0jgq01ImsnjTIOP7oPJEacrTXBVf6S0fp6ASPSzog%3D%3D,,
Topps Chrome NFL Blaster,B0F82XP2VG,,,
Topps Chrome NFL Mega,B0GR75M77N,,,
Resident Evil Generation Pack - Nintendo Switch 2,B0FY8K73R9,e%2B77G0tmgTYBH2q5kfmyiBiIB%2BUWj2sp9A0QHCy6cXRvS%2BYy9T9qJxMTumFxSO8L9g5U6kshsT9JoMYDJo6NfXFqICYKmc1lJABWG13UA4whm4ObeW1myA2gu%2F3CvWKHnJBnbylKdwLpkyy6jlCSRg%3D%3D,,
DeBÍ TiRAR MáS FOToS (Amazon Exclusive),B0FRC3NSVP,3%2FdbutIIfLx8%2Fq5BoNDsEHEgaWfxDwJ3f1Ft4fpFABAphRH1R%2FE1YwxNP8GxnEsSB5C%2FdKxEo4renrglsJfxHQ%2FwJ6wRr%2FoKBn2kBO%2Fb7n6lrqeI1mIXe6X67BwGWMaL4gyINYojzynrDn19lo6%2B9g%3D%3D,,
2025 Topps Series 1 Baseball - Factory Sealed - Mega Celebration,B0DV9GVMBV,eMbLFh199KyETlpEGIKN1iDfUGwQs030eYo%2FCNz3DQemfX7blgTT3OXuCUPqfQ8GAZjjLuSxJZqVil4nzu9RY78lB3wFb4XbJHxUmxD1uWFhiUeALH6ye87nhHQCkjiR1r6iTXKl6rgW%2BTkxDMO2m9IM%2Fi1kwVnvwr0InQSZ8PoQhfnA8kn7fYmZyb%2FW5mQ9,,
2025 Marvel Comics Chrome – Factory Sealed – Value Box,B0F6VR5P3V,IhalcxfZaWMO4msGVQsdiKcBUpOCwIjkA05k5dNNOeqttfCAfjcmFcHaL000J2%2F1qKACu58CigZgCDbJ4VeqgcMJJGdFzaQzX17JDPKDU3IM3BzIT8Zow1XCedAHbRsbP1Dm%2FbZBonD9xygpnsg3HPCQYQTA43%2BhCh94N0%2BjSf8NiA4UhFH3od0z9cSHUy2r,,
